Campaign,Ad group,Asset type,Text,Pin,Final URL
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Contrato De Imovel,1,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Antes De Pagar Sinal,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Compra E Venda Clara,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Evite Improviso,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Imovel Explicado,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Fale Com Luis Carlos,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Headline,Contrato Compra Venda,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Description,Vai assinar ou pagar sinal? Organize contrato, documentos e prazos.,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Description,Atendimento humano para compra, venda, promessa e contrato de imovel.,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
GS_BR_COMPRA_VENDA_CONTRATO_202606,compra_venda_contrato,Description,Antes do Pix, entenda valor, prazo, sinal, documentos e chaves.,,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606
